year,branch,total_by_year
2025,Stories Bir Hasan,34357224.24
2025,Stories Ain El Mreisseh,119612862.02
2025,Stories Airport,39428277.6
2025,Stories Antelias,30629228.94
2025,Stories Batroun,54073464.51
2025,Stories Bayada,52643538.48
2025,Stories Centro Mall,37541717.86
2025,Stories Event Starco,597312.31
2025,Stories Faqra,10977393.51
2025,Stories Khaldeh,84155611.99
2025,Stories Lau,16043692.82
2025,Stories Le Mall,46870516.59
2025,Stories Mansourieh,27000571.83
2025,Stories Ramlet El Bayda,56084689.92
2025,Stories Saida,55006289.81
2025,Stories Sour 2,23441809.54
2025,Stories Verdun,25136394.81
2025,Stories Zalka,107969194.27
2025,Stories Aley,30496225.61
2025,Stories Amioun,9766064.29
2025,Stories Jbeil,27162174.22
2025,Stories Kaslik,2820553.76
2025,Stories Raouche,4556196.71
2025,Stories Sin El Fil,10298525.55
2025,Stories Unknown,13905863.33
2026,Stories Bir Hasan,1792619.23
2026,Stories Ain El Mreisseh,6348294.91
2026,Stories Airport,4684588.61
2026,Stories Antelias,1429394.6
2026,Stories Batroun,2839402.11
2026,Stories Bayada,2688382.59
2026,Stories Centro Mall,2236126.13
2026,Stories Event Starco,37549.55
2026,Stories Khaldeh,4657413.53
2026,Stories Lau,735243.25
2026,Stories Le Mall,2941828.23
2026,Stories Mansourieh,2786703.91
2026,Stories Ramlet El Bayda,3913985.6
2026,Stories Saida,2433043.85
2026,Stories Sour 2,2434786.67
2026,Stories Verdun,1069784.99
2026,Stories Zalka,5752503.31
2026,Stories Aley,2173788.6
2026,Stories Amioun,1993321.33
2026,Stories Jbeil,4189610.42
2026,Stories Kaslik,1034753.16
2026,Stories Raouche,1896890.4
2026,Stories Sin El Fil,2455657.06
