branch,category,qty,revenue,total_cost,total_profit,cost_pct,profit_pct
Stories Bir Hasan,BEVERAGES,137572.1,18413858.39,4143855.17,14270003.22,22.5,77.5
Stories Bir Hasan,FOOD,102791.4,12649660.03,4658225.8,7991434.23,36.82,63.18
Stories Centro Mall,BEVERAGES,138680.5,20549886.96,4591734.79,15958152.17,22.34,77.66
Stories Centro Mall,FOOD,121423.1,13071497.44,4981860.7,8089636.74,38.11,61.89
Stories Lau,BEVERAGES,58430.0,7772283.0,1774898.67,5997384.33,22.84,77.16
Stories Lau,FOOD,73384.15,7674895.68,2799004.1,4875891.58,36.47,63.53
Stories Faqra,BEVERAGES,49605.0,6718827.92,1426297.24,5292530.68,21.23,78.77
Stories Faqra,FOOD,46504.7,4199569.56,1508720.49,2690849.07,35.93,64.07
Stories Unknown,BEVERAGES,55306.5,7823276.67,1803433.47,6019843.2,23.05,76.95
Stories Unknown,FOOD,62895.2,6311370.0,2473263.04,3838106.96,39.19,60.81
Stories Ain El Mreisseh,BEVERAGES,453409.5,66041238.03,15162043.16,50879194.87,22.96,77.04
Stories Ain El Mreisseh,FOOD,350505.3,42556939.46,15664715.31,26892224.15,36.81,63.19
Stories Sour 2,BEVERAGES,71477.0,10752233.33,2266761.81,8485471.52,21.08,78.92
Stories Sour 2,FOOD,67378.7,8104252.76,2777193.82,5327058.94,34.27,65.73
Stories Event Starco,BEVERAGES,3349.0,466738.74,97314.12,369424.62,20.85,79.15
Stories Event Starco,FOOD,1162.5,130393.39,46184.66,84208.73,35.42,64.58
Stories Zalka,BEVERAGES,413408.5,53813460.63,12452738.11,41360722.52,23.14,76.86
Stories Zalka,FOOD,382491.9,44519032.28,16555525.12,27963507.16,37.19,62.81
Stories Antelias,BEVERAGES,101850.0,14315335.32,3237662.22,11077673.1,22.62,77.38
Stories Antelias,FOOD,132522.5,14235152.36,5307785.83,8927366.53,37.29,62.71
Stories Verdun,BEVERAGES,89944.92,13010598.15,2930940.79,10079657.36,22.53,77.47
Stories Verdun,FOOD,94159.7,9151479.59,3208707.08,5942772.51,35.06,64.94
Stories Khaldeh,BEVERAGES,313003.0,45882492.85,10627832.3,35254660.55,23.16,76.84
Stories Khaldeh,FOOD,245554.9,29695336.21,11378760.26,18316575.95,38.32,61.68
Stories Bayada,BEVERAGES,206104.0,26934094.72,6126424.75,20807669.97,22.75,77.25
Stories Bayada,FOOD,205844.0,20976980.69,7754077.28,13222903.41,36.96,63.04
Stories Le Mall,BEVERAGES,155439.5,20742277.64,4717079.19,16025198.45,22.74,77.26
Stories Le Mall,FOOD,203539.0,21749527.47,7885420.17,13864107.3,36.26,63.74
Stories Batroun,BEVERAGES,216444.3,30559364.59,6875618.67,23683745.92,22.5,77.5
Stories Batroun,FOOD,152400.7,18158022.94,7200127.14,10957895.8,39.65,60.35
Stories Saida,BEVERAGES,196102.7,26700440.61,6143884.18,20556556.43,23.01,76.99
Stories Saida,FOOD,214446.8,22946189.83,8501676.74,14444513.09,37.05,62.95
Stories Ramlet El Bayda,BEVERAGES,233679.4,29834381.14,6680818.93,23153562.21,22.39,77.61
Stories Ramlet El Bayda,FOOD,147283.4,20055289.48,7135401.85,12919887.63,35.58,64.42
Stories Jbeil,BEVERAGES,97446.0,14199160.0,2937118.7,11262041.3,20.69,79.31
Stories Jbeil,FOOD,88701.85,12919340.26,4445544.54,8473795.72,34.41,65.59
Stories Airport,BEVERAGES,143016.5,23449934.0,5337886.21,18112047.79,22.76,77.24
Stories Airport,FOOD,104599.5,13016566.41,4922970.38,8093596.03,37.82,62.18
Stories Aley,BEVERAGES,104936.1,16029573.92,3763597.16,12265976.76,23.48,76.52
Stories Aley,FOOD,87341.95,10176421.05,3862652.79,6313768.26,37.96,62.04
Stories Mansourieh,BEVERAGES,96462.5,13137363.38,3080067.34,10057296.04,23.45,76.55
Stories Mansourieh,FOOD,112738.9,13601490.73,4796147.77,8805342.96,35.26,64.74
Stories Sin El Fil,BEVERAGES,40001.5,5183243.25,1233876.78,3949366.47,23.81,76.19
Stories Sin El Fil,FOOD,34628.5,5108435.45,1884112.13,3224323.32,36.88,63.12
Stories Amioun,BEVERAGES,39279.0,5208679.28,1220181.77,3988497.51,23.43,76.57
Stories Amioun,FOOD,33133.7,4538748.37,1671637.41,2867110.96,36.83,63.17
Stories Raouche,BEVERAGES,20643.5,2837797.01,686283.32,2151513.69,24.18,75.82
Stories Raouche,FOOD,16050.27,1716003.31,646728.98,1069274.33,37.69,62.31
Stories Kaslik,BEVERAGES,11729.0,1532018.63,360533.95,1171484.68,23.53,76.47
Stories Kaslik,FOOD,10532.5,1287430.04,484560.79,802869.25,37.64,62.36
