month,month_num,sales_2025,robust_zscore,zscore,mom_pct,anomaly_flag
January,1,67369943.87,-0.689,-0.361,,0
February,2,57262019.67,-1.074,-0.752,-15.0,0
March,3,64386929.0,-0.802,-0.477,12.44,0
April,4,81285568.0,-0.159,0.177,26.25,0
May,5,44505440.67,-1.56,-1.245,-45.25,1
June,6,18437385.5,-2.552,-2.253,-58.57,1
July,7,89629757.34,0.159,0.499,386.13,1
August,8,109425311.8,0.913,1.265,22.09,0
September,9,91820788.32,0.242,0.584,-16.09,0
October,10,102791676.08,0.66,1.008,11.95,0
November,11,96932101.85,0.437,0.782,-5.7,0
December,12,96728472.45,0.429,0.774,-0.21,0
