branch,jan_2025,jan_2026,jan_2026_runrate,jan_yoy_pct,jan_runrate_yoy_pct
Stories Ain El Mreisseh,12648546.67,6348294.91,8945324.65,-49.81,-29.28
Stories Zalka,10449006.67,5752503.31,8105800.12,-44.95,-22.43
Stories Airport,0.0,4684588.61,6601011.22,,
Stories Khaldeh,7468155.33,4657413.53,6562719.07,-37.64,-12.12
Stories Jbeil,0.0,4189610.42,5903541.96,,
Stories Ramlet El Bayda,0.0,3913985.6,5515161.53,,
Stories Le Mall,3881015.0,2941828.23,4145303.42,-24.2,6.81
Stories Batroun,4266517.33,2839402.11,4000975.7,-33.45,-6.22
Stories Mansourieh,0.0,2786703.91,3926719.15,,
Stories Bayada,4497376.67,2688382.59,3788175.47,-40.22,-15.77
Stories Sin El Fil,0.0,2455657.06,3460244.04,,
Stories Sour 2,0.0,2434786.67,3430835.76,,
Stories Saida,7263332.33,2433043.85,3428379.97,-66.5,-52.8
Stories Centro Mall,3264533.33,2236126.13,3150905.0,-31.5,-3.48
Stories Aley,0.0,2173788.6,3063065.75,,
Stories Amioun,0.0,1993321.33,2808770.97,,
Stories Raouche,0.0,1896890.4,2672891.02,,
Stories Bir Hasan,3355705.33,1792619.23,2525963.46,-46.58,-24.73
Stories Antelias,2615854.33,1429394.6,2014146.94,-45.36,-23.0
Stories Verdun,1747977.87,1069784.99,1507424.3,-38.8,-13.76
Stories Kaslik,0.0,1034753.16,1458061.27,,
Stories Lau,1832006.33,735243.25,1036024.58,-59.87,-43.45
Stories Event Starco,0.0,37549.55,52910.73,,
Stories Faqra,1889910.0,0.0,0.0,-100.0,-100.0
Stories Unknown,2190006.67,0.0,0.0,-100.0,-100.0
