branch,sales_2025_total,forecast_2026_total,forecast_yoy_pct
Stories Ain El Mreisseh,119612862.02,84592792.43,-29.28
Stories Zalka,107969194.27,83756928.8,-22.43
Stories Khaldeh,84155611.99,73952618.18,-12.12
Stories Ramlet El Bayda,56084689.92,72910096.9,30.0
Stories Batroun,54073464.51,50708013.31,-6.22
Stories Le Mall,46870516.59,50062293.67,6.81
Stories Bayada,52643538.48,44342063.35,-15.77
Stories Airport,39428277.6,39428277.61,0.0
Stories Centro Mall,37541717.86,36235006.54,-3.48
Stories Aley,30496225.61,30496225.62,0.0
Stories Jbeil,27162174.22,27162174.22,0.0
Stories Mansourieh,27000571.83,27000571.84,0.0
Stories Saida,55006289.81,26953082.01,-51.0
Stories Bir Hasan,34357224.24,25861952.85,-24.73
Stories Antelias,30629228.94,23583793.28,-23.0
Stories Sour 2,23441809.54,23441809.54,0.0
Stories Verdun,25136394.81,22874119.27,-9.0
Stories Sin El Fil,10298525.55,10298525.55,0.0
Stories Amioun,9766064.29,9766064.29,0.0
Stories Unknown,13905863.33,9734104.34,-30.0
Stories Lau,16043692.82,9072927.22,-43.45
Stories Faqra,10977393.51,7684175.46,-30.0
Stories Raouche,4556196.71,4556196.72,0.0
Stories Kaslik,2820553.76,2820553.76,0.0
Stories Event Starco,597312.31,597312.32,0.0
