branch,mean_rank,rank_std,in_top5_risk_count,in_top5_risk_pct,mean_pairwise_spearman,mean_top5_overlap
Stories Ain El Mreisseh,19.82,4.31,1,3.6,,
Stories Airport,8.46,2.96,7,25.0,,
Stories Aley,8.2,3.31,7,25.0,,
Stories Amioun,5.79,3.46,14,50.0,,
Stories Antelias,20.32,4.74,0,0.0,,
Stories Batroun,20.14,4.59,1,3.6,,
Stories Bayada,20.54,3.43,1,3.6,,
Stories Bir Hasan,20.57,3.29,0,0.0,,
Stories Centro Mall,19.86,3.59,0,0.0,,
Stories Event Starco,5.75,3.82,13,46.4,,
Stories Faqra,11.27,3.09,1,3.6,,
Stories Jbeil,5.7,3.03,13,46.4,,
Stories Kaslik,5.71,3.68,26,92.9,,
Stories Khaldeh,19.96,4.34,1,3.6,,
Stories Lau,15.36,4.58,1,3.6,,
Stories Le Mall,18.11,3.75,0,0.0,,
Stories Mansourieh,6.29,2.63,6,21.4,,
Stories Ramlet El Bayda,13.89,3.21,0,0.0,,
Stories Raouche,5.61,3.68,14,50.0,,
Stories Saida,16.5,2.81,0,0.0,,
Stories Sin El Fil,5.79,3.36,19,67.9,,
Stories Sour 2,7.93,3.43,11,39.3,,
Stories Unknown,8.16,2.7,4,14.3,,
Stories Verdun,15.5,2.37,0,0.0,,
Stories Zalka,19.79,3.99,0,0.0,,
(summary),,,,,0.7351,0.5037
